layer,feature_id,active_count,active_fraction,total_activation,mean_activation_when_active,max_activation,sae_folder
18,3171,208,0.04746691008671839,101384.85241699219,487.42717508169324,1079.2900390625,resid_post_all/layer_18_width_16k_l0_small
18,939,206,0.04701049748973072,95483.92813110352,463.51421422865786,900.4771728515625,resid_post_all/layer_18_width_16k_l0_small
18,3475,205,0.04678229119123688,88243.62561035156,430.45671029439785,966.0364379882812,resid_post_all/layer_18_width_16k_l0_small
18,2632,205,0.04678229119123688,50288.318939208984,245.30887287419017,1248.268310546875,resid_post_all/layer_18_width_16k_l0_small
18,12358,204,0.04655408489274304,81194.43508911133,398.01193671133007,693.4752807617188,resid_post_all/layer_18_width_16k_l0_small
18,4560,203,0.0463258785942492,74873.71435546875,368.8360313077278,990.9575805664062,resid_post_all/layer_18_width_16k_l0_small
18,564,201,0.04586946599726152,198845.75805664062,989.2823783912469,2179.072509765625,resid_post_all/layer_18_width_16k_l0_small
18,1557,198,0.04518484710178001,77145.22799682617,389.6223636203342,615.1992797851562,resid_post_all/layer_18_width_16k_l0_small
18,1626,197,0.04495664080328617,59682.23876953125,302.9555267488896,556.6673583984375,resid_post_all/layer_18_width_16k_l0_small
18,3934,196,0.04472843450479233,133145.7265625,679.3149314413265,994.2064208984375,resid_post_all/layer_18_width_16k_l0_small
18,13377,196,0.04472843450479233,94847.35852050781,483.9150944923868,1317.323486328125,resid_post_all/layer_18_width_16k_l0_small
18,2040,189,0.04313099041533546,74562.169921875,394.5088355654762,773.3814086914062,resid_post_all/layer_18_width_16k_l0_small
18,95,183,0.041761752624372435,309572.1755371094,1691.6512324432206,3092.20703125,resid_post_all/layer_18_width_16k_l0_small
18,2044,182,0.04153354632587859,58114.045471191406,319.30794214940335,585.9595947265625,resid_post_all/layer_18_width_16k_l0_small
18,3182,181,0.04130534002738476,96770.60092163086,534.6442039869108,923.21142578125,resid_post_all/layer_18_width_16k_l0_small
18,7524,180,0.041077133728890915,76146.72430419922,423.0373572455512,627.468994140625,resid_post_all/layer_18_width_16k_l0_small
